name,stage,employees,raised,year_founded,hq_city,tech_vertical,reg_number,website,notes,description
PlaxidityX,Acquired,51-200,$30M,1968,Savyon-Ganey Yehuda,"Automotive, Defense Tech",510496532,https://mobilinx.wixsite.com/website,,Automotive Cyber Security
PML,Mature,1-10,Undisclosed,,,,,,,Nanoparticle Measurement and Analysis Tools
PointAR,Seed,1-10,$800K,,,,,,,Remote Assistance Solutions
Pointer,Acquired,51-200,Undisclosed,,,,,,,Telocation Systems Transportation and Public Safety Industry
POLEG Plastic,Mature,51-200,Undisclosed,2002,Kibbutz Shefayim,"Automotive, Big Data",513189423,http://www.sti-ltd.org,,"Industries Polyethylene Protective Films for Automotive, Agriculture, and Industry"
Polycart,Mature,11-50,Undisclosed,,,,,,,Technologies Thermoplastic Products
Polymertal,Mature,11-50,$2.26M,2013,Haifa,"Automotive, Deep Tech, Industry 4.0, SpaceTech",514948751,https://polymertal.com,,Sustainable Alternatives to Metals and Composites
Polyram,Public,51-200,$123M,,,,,,,Customized Thermoplastic Compound Manufacturer
Polyrit,Mature,11-50,Undisclosed,,,,,,Presumed Inactive,Polyurethane Parts Maker PortLabs Pre- 1-10 Undisclosed  Funding Autonomous Air Traffic
Powermat,B,11-50,$110M,2006,Neve Ilan,"Automotive, IoT, Smart City",513814442,https://powermat.com,,Technologies Wireless Charging Solutions
PrintCB,A,1-10,$2M,,,,,,,Conductive Copper Printing for Electronics Manufacturing
proteanTecs,D,201-500,$241M,,,,,,,Performance Monitoring and Fault Prediction for Advanced Electronics ProtectivX Pre- 1-10 Undisclosed
PV Nano Cell,Public,11-50,$9.69M,,,,,,,Single-crystal Conductive Nano Inks
PxE,Seed,1-10,$6.5M,,,,,,,Computational Imaging Advanced 3D Imaging Technology
Pzartech,Mature,1-10,$212.17K,2014,Tel Aviv,"Artificial Intelligence, Automotive, DevOps, Industry 4.0, IoT",515223931,https://www.pzartech.com,,Digital Solutions for Industrial Maintenance
QualiSense,Seed,11-50,$8.5M,,,,,,,Autonomous Inspection System for the Manufacturing Industry
QualityLine,Mature,11-50,$1.2M,,,,,,,Manufacturing Data Analytics
Questar,Mature,51-200,Undisclosed,2003,Herzliya,"Artificial Intelligence, Automotive, Big Data, Insurtech, Machine Learning",513367797,https://questarauto.com,,"Data-driven Fleet Management, Vehicle Diagnostics, and Connectivity Solutions"
RadSee,Seed,1-10,$3M,2017,Netanya,Automotive,515663409,https://radsee.com,,4D Imaging Radar System
Raval ACS,Public,500+,$5M,2003,Kibbutz Ein Harod Ihud,"Automotive, Defense Tech, SpaceTech",570053926,https://aero-magnesium.com,,Automobile Valves and Emission Control Products
Red Bend,Acquired,51-200,$20M,,,,,,,Mobile Software Management Solutions
Redler,Mature,11-50,$2.43M,1994,Kfar Saba,"Automotive, Defense Tech, Robotics",512052077,https://www.redlertechnologies.com,,Technologies Motion Control and Navigation Equipment
REE Automotive,Public,201-500,$405M,2011,Kibbutz Glil-Yam,"Automotive, Climate Tech",514557339,https://ree.auto,,Flat and Modular Chassis for Electric Vehicles Revoltz Pre- 1-10 Undisclosed
RFISee,Seed,1-10,$2.75M,,,,,,,4D Imaging Radar
RFOptic,Mature,11-50,Undisclosed,,,,,,,Radio-frequency-over- fiber and Optical-delay- line Solutions Rise Nano Optics Pre- 1-10 Undisclosed Nanotechnology Funding
Saccade Vision,Seed,1-10,$1M,,,,,,,Autonomous Machine Vision for Dimensional Inspection and Robotic Guidance
Safe Distance,Mature,1-10,Undisclosed,,,,,,,Enhanced Automobile Safety
SafeCue,Seed,1-10,$500K,,,,,,,Lifesaving Predictive Solutions for the Automotive
SafeMode,Seed,11-50,$325K,2016,Tel Aviv,"Artificial Intelligence, Automotive, Big Data, Insurtech, RetailTech",515575066,https://www.safemode.co,,Mobility Incentive Platform for the Transportation Industry
Safer Place,Mature,11-50,$1M,2011,Tel Aviv,"Automotive, Smart City",514589472,https://saferplace.com,,Road Safety and Parking Enforcement Solutions
SafeRide,Acquired,1-10,$2.5M,,,,,,,Technologies AI-driven Vehicle Insights SafetyEye Pre- 1-10 Undisclosed
Salvation Battery,Pre-Seed,1-10,$250K,,,,,,,Battery Technology enhancement by Carbon Nanotubes
SaverOne,Public,11-50,$29.89M,2014,Petach Tikva,"Artificial Intelligence, Automotive, Big Data, Insurtech, Machine Learning",515154607,https://www.saver.one,,Driver Distraction Prevention Technology for Enhanced Road Safety
ScanMaster,Acquired,51-200,Undisclosed,1985,Kfar Saba,"Automotive, Industry 4.0, IoT, Machine Vision, Robotics, SpaceTech",512563792,https://scanmaster-irt.com,,Systems Systems and Instruments for Nondestructive
Securepush,Mature,1-10,$2.9M,,,,,,,IoT Security Solutions
Seevix Material,Mature,11-50,Undisclosed,,,,,,,Sciences Biopolymer Material Inspired by Spider Silk
Senso-Optics,Mature,11-50,Undisclosed,,,,,,,Electro-optical and Thermal-imaging Products and Systems Shamir Precision Pre- 11-50 Undisclosed Optics Funding
SheeldS,Acquired,1-10,Undisclosed,,,,,,,Cyber-security Technologies for Automotive Environments
ShieldIOT,A,11-50,$11M,,,,,,,IoT Security
Silib,Seed,1-10,$3M,2019,Yavne,Automotive,516233673,https://www.si-lib.com,,Silicon Anodes for High-capacity Lithium- ion Batteries
Sital Technology,Mature,11-50,Undisclosed,1993,Kfar Saba,"Automotive, SpaceTech",512441148,http://www.sitaltech.com,,Communication Bus Applications
SKM Aeronautics,Mature,11-50,Undisclosed,,,,,,Presumed Inactive,Precision Rubber Sealing Solutions and Molded Parts Smartive Pre- 1-10 Undisclosed  Funding
SolCold,B,11-50,$14.37M,,,,,,,Solar Cooling Technology
SolidT,Pre-Seed,1-10,$1.65M,2023,Petach Tikva,"Automotive, Deep Tech",516779261,https://www.solidt-tech.com,,Solid State-based Decentralized Temperature Control
SOLRA-PV,Seed,1-10,$1M,,,,,,,Perovskite-based Solar Cells for Indoor Use in IoT Devices
SP Nano,B,1-10,$9.85M,2007,Yavne,"Automotive, SpaceTech",514036342,http://www.spnano.com,,Nanotechnology- enhanced Composite Materials
Sparkion,Acquired,11-50,Undisclosed,,,,,,,Energy Storage Solutions for Charging Electric Vehicles
Spectralics,Pre-Seed,1-10,$2.85M,,,,,,,Optical Chip Technology
Spetrotec,Mature,11-50,Undisclosed,1989,Hod Hasharon,"Automotive, IoT",511431918,https://www.spetrotec.com,,"Telematics for Vehicle Tracking, Safety &"
StoreDot,D,51-200,$200M,2012,Herzliya,"Automotive, Climate Tech, Deep Tech",514820117,https://www.store-dot.com,,Extreme Fast-charging Electric Vehicle Batteries
Sunbit,D,201-500,$161.92M,2016,Los Angeles,"Artificial Intelligence, Automotive, FinTech, Machine Learning, RetailTech, SaaS",515446821,http://sunbit.com,,Flexible Payment Solutions for Retailers
SUNSET,Mature,1-10,Undisclosed,,,,,,,Sunshield for Drivers
Supergum,Mature,11-50,Undisclosed,,,,,,,"Industries Rubber, Plastic, and CBRN Solutions Surfsight AI Pre- 1-10 Undisclosed Video Telematics for Funding"
Tabor Electronics,Mature,51-200,Undisclosed,1971,Tel Hanan,"Automotive, Defense Tech, Quantum Technology, SpaceTech",510573157,https://www.taborelec.com,,Testing and Measurement Tools Manufacturer
Tactile Mobility,C,11-50,$36M,2011,Haifa,"Artificial Intelligence, Automotive, Big Data, IoT, Machine Learning, Smart City",514681972,https://tactilemobility.com,,Tactile Sensing and Data Solutions for Autonomous Vehicles
Tadiran Batteries,Acquired,51-200,Undisclosed,,,,,,,Lithium Battery Manufacturer
Tag A Time,Mature,1-10,Undisclosed,,,,,,,Calendar Management and Appointment Scheduling
TakeOver,Pre-Seed,1-10,Undisclosed,,,,,,,Vehicle Security and Remote Communication Systems
Tasq,Seed,11-50,$4M,,,,,,,Technologies Labeling Solution for Visual Data
Tech360,Mature,1-10,Undisclosed,,,,,,,Tailormade Tracking Solutions
Telcon,Mature,11-50,Undisclosed,,,,,,,Manufacturer of Diamond-tipped Drills and Countersinks
Telematics,Acquired,51-200,Undisclosed,1985,Rishon Le-Zion,"Automotive, IoT",511100471,http://www.ermtelematics.com,,Wireless Wireless Communication Equipment for
Tervizio,Seed,1-10,Undisclosed,2020,Givatayim,"Artificial Intelligence, Automotive",516426350,https://tervizio.com,,3D Imaging Optimization for the Automotive Industry
TGL S.P.,Mature,11-50,Undisclosed,,,,,,,Industries Rubber to Metal Bonding Products for Defense & Commercial Industries
Therma Sphera,Seed,1-10,$55K,,,,,,,Thermal Battery Systems
ThermoSiv,Mature,1-10,$1.3M,,,,,,Presumed Inactive,Carbon-based Conductive Heating Fabric TheWhollySee Pre- 1-10 $100K  Funding
ThirdEye Systems,Public,11-50,$10M,,,,,,,Thermal Spectrum Security Systems
Todos,Mature,1-10,Undisclosed,,,,,,,Technologies Sensing Technology for the Food Industry
Tomorrow.io,E,201-500,$281M,2016,Boston,"Automotive, Big Data, Climate Tech, Defense Tech, Generative AI, Insurtech, IoT, SaaS, SpaceTech",515903235,https://www.tomorrow.io,,AI-powered Weather Intelligence Platform
Top Car Armoring,Mature,1-10,Undisclosed,,,,,,,Armored Vehicle Manufacturing
Tosaf Compounds,Mature,201-500,Undisclosed,,,,,,,Additive and Color Solutions for the Plastic Industry
TourEngine,Mature,11-50,$9.49M,2006,Rehovot,"Automotive, Climate Tech",514341858,https://www.tourengine.com,,High-efficiency Combustion Engine Technology
TowerSec,Acquired,11-50,$2.5M,,,,,,,Automotive Cybersecurity Solutions
TriEye,A,51-200,$96M,2017,Tel Aviv,"Automotive, Deep Tech, Industry 4.0, Machine Vision, Robotics",515721744,https://trieye.tech,,Short-Wave Infrared Sensing Solutions Enabling Imaging & Ranging Under All Visibility Conditions
Tritone,Seed,11-50,$5M,,,,,,,Industrial Additive Manufacturing
Tupaia,Seed,1-10,Undisclosed,2020,Tel Aviv,"Artificial Intelligence, Automotive, Cloud, Construction Tech, Deep Tech, Drones, IoT, Smart City, SpaceTech",516187481,https://www.tupaia-pos.com,,GPS/GNSS Pprecise Positioning for the Mass Market TurboGEN Pre- 1-10 $25K Technology Funding
UBQ Materials,D,51-200,$268.2M,,,,,,,Plastic Substitute Made from Non-recyclable Materials
Unispectral,A,11-50,$14.3M,,,,,,,Hyperspectral Imaging Platform
Uppler,Mature,11-50,Undisclosed,,,,,,,B2B Marketplace Solution
Upstream,C,51-200,$105M,2017,Birmingham,"Artificial Intelligence, Automotive, Big Data, Cloud, Cyber Security, Insurtech, IoT, Machine Learning, SaaS",515630713,https://upstream.auto,,Security Cloud-based Security Platform for Connected and Autonomous Fleets
Upswift,Acquired,1-10,Undisclosed,,,,,,,Device Management Platform for Linux and IoT
V-HOLA,Pre-Seed,1-10,Undisclosed,2019,Kfar Saba,"Automotive, IoT, SaaS",516258894,https://www.v-hola.com,,In-vehicle Electromagnetic Radiation Detection
Valerann,A,11-50,$24M,2016,Tel Aviv,"Artificial Intelligence, Automotive, Big Data, IoT, Smart City",515027282,https://www.valerann.com,,Autonomous Traffic Control and Monitoring System
Vanti Analytics,Acquired,11-50,$22M,,,,,,,AI-powered Manufacturing Optimization Platform
VAYAVISION,Acquired,11-50,$10.76M,,,,,,,Vehicle Perception Engine for Safer Autonomous Driving
Vdoo,Acquired,11-50,$70M,,,,,,Presumed Inactive,Integrated Device Security Platform Vectoraic Pre- 1-10 Undisclosed  Funding
ViaGaN,Mature,500+,Undisclosed,,,,,,,Wafer-level Solutions for LED Manufacturing
Vidisco,Mature,11-50,Undisclosed,,,,,,,Portable X-ray Inspection Technologies
viisights,A,1-10,$21.2M,,,,,,,Video Intelligence Platform for Security and Surveillance ViLOG Pre- 1-10 Undisclosed AI-powered Yard Funding
Virtual Extension,Mature,1-10,Undisclosed,2000,Beit Dagan,"Automotive, Construction Tech, IoT, Smart City",512840448,http://www.virtual-extension.com,,Wireless Lighting Control Systems
Virtual Spirits,Mature,1-10,Undisclosed,,,,,,,"Chatbot Platform for Lead Generation,"
Visionary.ai,Seed,11-50,$8M,2020,Jerusalem,"Artificial Intelligence, Augmented Reality, Automotive, Deep Tech, Drones, IoT, Machine Learning, Robotics, Smart City",516288461,https://www.visionary.ai,,AI-based Image Signal Processing Solution
Vtool,Mature,51-200,$2M,,,,,,,AI-based Verification Analytics & Debugging Solution
WakingApp,Acquired,1-10,$10.4M,,,,,,,Realities AR Content Creation Platform
Waycare,Acquired,11-50,$10.12M,,,,,,,AI-driven Mobility Platform for Smart Cities
White Raven,Seed,1-10,$3.5M,,,,,,,Automotive Visual Positioning
XJet,Mature,51-200,$163.2M,2005,Rehovot,"Automotive, Deep Tech, Industry 4.0, IoT",513655233,https://xjet3d.com,,Additive Manufacturing of Ceramic and Metal Parts
Xyte,A,51-200,$26.4M,,,,,,,"Cloud Services Management Platform for Hardware Manufacturers, Integrators, and In-"
Yamar Electronics,Mature,1-10,Undisclosed,,,,,,Presumed Inactive,Semiconductors for Data Communication over DC Power Lines Yokaranda Pre- 1-10 Undisclosed  Funding
Yous,Seed,1-10,Undisclosed,,,,,,,Personal Mobility Insurance Solution
VisIC,B,11-50,$92.6M,2010,Ness Ziona,Automotive,514467513,https://www.visic-tech.com,,Technologies Gallium Nitride Devices for Electric Vehicles
Addionics,B,51-200,$73M,2017,London,"Artificial Intelligence, Automotive, Climate Tech, Deep Tech, Impact",515771194,https://www.addionics.com,,High-performance Rechargeable Batteries
Arbe Robotics,Public,51-200,$266M,2015,Tel Aviv,"Automotive, Deep Tech",515333128,http://www.arberobotics.com,,4D Imaging Radar Solutions for Autonomous Vehicles
Foresight,Public,51-200,$43.03M,2015,Ness Ziona,"Artificial Intelligence, Automotive, Machine Vision",520036062,https://www.foresightauto.com,,Detection Technology for Driver Assistance Systems
Foretellix,C,51-200,$135.14M,2017,Ramat Gan,"Artificial Intelligence, Automotive, Generative AI, Insurtech",514453794,https://www.foretellix.com,,Safety-Driven Verification and Validation for Automated Driving Systems
Gauzy,Public,201-500,$156.35M,2009,Tel Aviv,"Automotive, Construction Tech, Deep Tech, PropTech, RetailTech, Smart City",514335967,https://www.gauzy.com,,Smart Glass with Light Control Technology
Innoviz,Public,201-500,$728M,2016,Rosh Haayin,"Artificial Intelligence, Automotive, Construction Tech, Deep Tech",515382422,http://www.innoviz.tech,,ןוכמ ירבח Technologies High-performance Solid-state LiDAR and Perception Software
Ituran,Mature,201-500,$50M,1995,Azur,"Automotive, Insurtech",520043811,https://www.ituran.com/ituranfront/en,,Vehicle-tracking Technologies
Jungo,Public,11-50,$11.5M,2013,Netanya,"Artificial Intelligence, Automotive, Deep Tech, Insurtech, Machine Learning, Machine Vision",514663335,https://jungo.com,,Connectivity AI-Powered In-Cabin Sensing and Driver Safety Solutions for
Mobileye,Public,500+,$3.28B,1999,Jerusalem,"Artificial Intelligence, Automotive, Deep Tech, Insurtech, IoT, Machine Learning, Machine Vision",512700436,http://www.mobileye.com,,Autonomous Driving and Driver-assist Technologies
MOTOMEA,Mature,11-50,Undisclosed,,,,,,,Electric Motor and Powertrain Testing Using Dynamometer Systems
Rider Dome,Seed,11-50,$3.8M,2021,Singapore,"Artificial Intelligence, Automotive",,https://www.riderdome.com,,Rider Assistance Systems Public 500+ $246.83M
TankU,Seed,1-10,$8M,2014,Haifa,"Artificial Intelligence, Automotive, FinTech",515143394,https://www.tanku.com,,Computer Vision-based AI Solutions for Outdoor Retail
Valens,Public,201-500,$404M,2006,Hod Hasharon,"Automotive, Deep Tech",513887042,https://www.valens.com,,Semiconductor Solutions for Connectivity in AV and Automotive Industries
3DBattery,Seed,11-50,$5.32M,2017,Rehovot,"Automotive, Climate Tech",515439354,https://www.3dbattery.co.il,,Solid Cell Technology for Rechargeable Microbatteries
634 AI,Seed,1-10,Undisclosed,,,,,,,Industrial Mobility Technology
AD Knight,Seed,1-10,$2.91M,2018,Herzliya,"Automotive, IoT, Smart City",515898567,https://www.ad-knight.com,,Real-time Location Analytics
ADASKY,B,51-200,$85M,2015,Yoqneam Ilit,"Artificial Intelligence, Automotive, Deep Tech, Digital Health, Machine Vision, Smart City",515312304,https://www.adasky.com,,Thermal Sensing Solutions for Safe Mobility AeroMule Pre- 1-10 Undisclosed Aviation Funding
AIONZ,Acquired,1-10,Undisclosed,,,,,,,Lithium-ion Battery Diagnostics
Altair,Acquired,51-200,$124M,,,,,,,Semiconductor Single-mode LTE Telecom Chipsets
Anachoic,Seed,1-10,$3.05M,2018,Ramat Gan,"Artificial Intelligence, Automotive",515877884,https://www.anachoic.com,,
Apollo Power,Public,51-200,$414.28K,2014,Yoqneam Ilit,"Automotive, Blockchain, Climate Tech, Drones, FinTech, SpaceTech",520043928,https://www.apollo-power.com,,Flexible Solar Film Panels
Aquarius Engines,Public,11-50,$126.28M,2014,Kibbutz Yakum,"Automotive, IoT",515114429,https://www.aquariusengines.com,,Internal Combustion Engine for Cars and Generators
Aurora Labs,C,51-200,$97.5M,,,,,,,AI-based Vehicle Software Intelligence
Autobrains,C,51-200,$131.4M,2019,Tel Aviv,"Artificial Intelligence, Automotive",515928109,https://autobrains.ai,,Automotive AI Software for Advanced Driver Assistance and Fully Autonomous Driving Systems
Autotalks,Acquired,51-200,$85M,,,,,,,Vehicle-to-vehicle Communication Technology AutoTrust Pre- 1-10 Undisclosed
AxonPulse,Seed,11-50,$4.6M,,,,,,,AI-based Radar Perception
Battery Solution,Acquired,1-10,Undisclosed,,,,,,,International Battery Life Extension and Refurbishment
Blitz Motors,Public,11-50,$10.47M,,,,,,Presumed Inactive,Electric Scooters for Last Mile Logistics Blueguard Pre- 1-10 Undisclosed  Funding
BNC Systems,Mature,1-10,Undisclosed,,,,,,,Infotainment and Navigation Platforms
BQR Reliability,Mature,11-50,Undisclosed,1989,Rishon Le-Zion,"Automotive, DevOps, Industry 4.0, IoT",511359127,http://www.bqr.com,,Engineering Comprehensive Software for Reliability Engineering and Maintenance
Bright Way Vision,Mature,11-50,$25M,,,,,,,CMOS-based All- weather Vision System
Bringoz,A,51-200,Undisclosed,2016,Tel Aviv,"Automotive, RetailTech",515317360,https://www.bringoz.com,,Technologies Intelligent Delivery and Distribution Management System
Brodmann17,A,1-10,$19.39M,,,,,,Presumed Inactive,Deep-learning Engine for Visual Recognition C-Tower Pre- 1-10 Undisclosed  Funding
CAARESYS,Acquired,1-10,$728K,,,,,,,Vital Sign Monitoring System
CARRAR,A,11-50,$9.9M,2019,Sderot,Automotive,516024825,https://carrar.net,,Battery Systems for Electric Vehicles CarsDome Pre- 1-10 Undisclosed Robotics Funding
CENS Materials,A,1-10,$7.16M,2005,Altdorf,"Automotive, Climate Tech",,https://www.cenh2.com,,Nanotech Materials that Boost Performance and Lifespan of Li-ion Batteries
Charging,Public,1-10,Undisclosed,2021,Omer,"Automotive, Climate Tech, Robotics",516333671,https://www.chargingrobotics.com,,Robotics Automatic Wireless Charging System
CipherSiP,Seed,1-10,$4M,2018,Haifa,"Automotive, Cyber Security, Industry 4.0, IoT",515863157,https://ciphersip.com,,Secured High-speed Connectivity
Cipia Vision,Public,51-200,$80.39M,,,,,,,AI-based Monitoring Solutions for Drivers
